#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   17:35:28      0     25     40      -     38     11      0      0      0      0    405    345 
 20240215   17:35:29      0     24     40      -     39     11      0      0      0      0    405    330 
 20240215   17:35:30      0     25     40      -     38     11      0      0      0      0    405    330 
 20240215   17:35:31      0     25     40      -     36     11      0      0      0      0    405    315 
 20240215   17:35:32      0     24     40      -     41     11      0      0      0      0    405    345 
 20240215   17:35:33      0     24     40      -     41     12      0      0      0      0    405    360 
 20240215   17:35:34      0     24     40      -     36     10      0      0      0      0    405    360 
 20240215   17:35:35      0     24     40      -     36     10      0      0      0      0    405    345 
 20240215   17:35:36      0     25     40      -     37     11      0      0      0      0    405    360 
 20240215   17:35:37      0     24     40      -     34     11      0      0      0      0    405    360 
 20240215   17:35:38      0     26     40      -     37     11      0      0      0      0    405    345 
 20240215   17:35:39      0     24     40      -     40     12      0      0      0      0    405    390 
 20240215   17:35:40      0     25     40      -     34     10      0      0      0      0    405    390 
 20240215   17:35:41      0     25     40      -     36     11      0      0      0      0    405    390 
 20240215   17:35:42      0     24     40      -     35     11      0      0      0      0    405    390 
 20240215   17:35:43      0     24     40      -     37     11      0      0      0      0    405    360 
 20240215   17:35:44      0     25     40      -     40     13      0      0      0      0    405    360 
 20240215   17:35:45      0     25     40      -     37     11      0      0      0      0    405    375 
 20240215   17:35:46      0     24     40      -     35     10      0      0      0      0    405    375 
 20240215   17:35:47      0     24     40      -     38     11      0      0      0      0    405    360 
 20240215   17:35:48      0     24     40      -     35     11      0      0      0      0    405    375 
 20240215   17:35:49      0     24     40      -     36     11      0      0      0      0    405    375 
 20240215   17:35:50      0     25     40      -     37     11      0      0      0      0    405    360 
 20240215   17:35:51      0     24     40      -     38     12      0      0      0      0    405    345 
 20240215   17:35:52      0     25     40      -     38     12      0      0      0      0    405    345 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 20240215   17:35:53      0     24     40      -     36     11      0      0      0      0    405    345 
 20240215   17:35:54      0     24     40      -     38     11      0      0      0      0    405    330 
 20240215   17:35:55      0     25     40      -     45     13      0      0      0      0    405    375 
 20240215   17:35:56      0     24     40      -     37     14      0      0      0      0    405    375 
 20240215   17:35:57      0     25     40      -     36     11      0      0      0      0    405    360 
 20240215   17:35:58      0     25     40      -     39     11      0      0      0      0    405    360 
 20240215   17:35:59      0     24     40      -     35     10      0      0      0      0    405    345 
 20240215   17:36:00      0     25     40      -     39     11      0      0      0      0    405    330 
 20240215   17:36:01      0     24     40      -     40     11      0      0      0      0    405    345 
 20240215   17:36:02      0     25     40      -     34     10      0      0      0      0    405    330 
 20240215   17:36:03      0     24     40      -     38     11      0      0      0      0    405    330 
 20240215   17:36:04      0     25     40      -     39     11      0      0      0      0    405    345 
 20240215   17:36:06      0     24     40      -     38     12      0      0      0      0    405    345 
 20240215   17:36:07      0     24     40      -     39     11      0      0      0      0    405    345 
 20240215   17:36:08      0     24     40      -     37     12      0      0      0      0    405    360 
 20240215   17:36:09      0     24     40      -     38     13      0      0      0      0    405    345 
 20240215   17:36:10      0     24     40      -     37     11      0      0      0      0    405    345 
 20240215   17:36:11      0     25     40      -     37     11      0      0      0      0    405    345 
 20240215   17:36:12      0     24     40      -     39     14      0      0      0      0    405    345 
 20240215   17:36:13      0     24     40      -     38     11      0      0      0      0    405    345 
 20240215   17:36:14      0     24     40      -     36     10      0      0      0      0    405    360 
 20240215   17:36:15      0     25     40      -     40     11      0      0      0      0    405    375 
 20240215   17:36:16      0     24     40      -     35     11      0      0      0      0    405    360 
 20240215   17:36:17      0     24     40      -     37     11      0      0      0      0    405    360 
 20240215   17:36:18      0     24     40      -     37     11      0      0      0      0    405    360 
